sk_data;data;ano;mes;dia;trimestre;dia_semana;eh_fim_de_mes
20230101;2023-01-01;2023;1;1;1;6;0
20230102;2023-01-02;2023;1;2;1;0;0
20230103;2023-01-03;2023;1;3;1;1;0
20230104;2023-01-04;2023;1;4;1;2;0
20230105;2023-01-05;2023;1;5;1;3;0
20230106;2023-01-06;2023;1;6;1;4;0
20230107;2023-01-07;2023;1;7;1;5;0
20230108;2023-01-08;2023;1;8;1;6;0
20230109;2023-01-09;2023;1;9;1;0;0
20230110;2023-01-10;2023;1;10;1;1;0
20230111;2023-01-11;2023;1;11;1;2;0
20230112;2023-01-12;2023;1;12;1;3;0
20230113;2023-01-13;2023;1;13;1;4;0
20230114;2023-01-14;2023;1;14;1;5;0
20230115;2023-01-15;2023;1;15;1;6;0
20230116;2023-01-16;2023;1;16;1;0;0
20230117;2023-01-17;2023;1;17;1;1;0
20230118;2023-01-18;2023;1;18;1;2;0
20230119;2023-01-19;2023;1;19;1;3;0
20230120;2023-01-20;2023;1;20;1;4;0
20230121;2023-01-21;2023;1;21;1;5;0
20230122;2023-01-22;2023;1;22;1;6;0
20230123;2023-01-23;2023;1;23;1;0;0
20230124;2023-01-24;2023;1;24;1;1;0
20230125;2023-01-25;2023;1;25;1;2;0
20230126;2023-01-26;2023;1;26;1;3;0
20230127;2023-01-27;2023;1;27;1;4;0
20230128;2023-01-28;2023;1;28;1;5;0
20230129;2023-01-29;2023;1;29;1;6;0
20230130;2023-01-30;2023;1;30;1;0;0
20230131;2023-01-31;2023;1;31;1;1;1
20230201;2023-02-01;2023;2;1;1;2;0
20230202;2023-02-02;2023;2;2;1;3;0
20230203;2023-02-03;2023;2;3;1;4;0
20230204;2023-02-04;2023;2;4;1;5;0
20230205;2023-02-05;2023;2;5;1;6;0
20230206;2023-02-06;2023;2;6;1;0;0
20230207;2023-02-07;2023;2;7;1;1;0
20230208;2023-02-08;2023;2;8;1;2;0
20230209;2023-02-09;2023;2;9;1;3;0
20230210;2023-02-10;2023;2;10;1;4;0
20230211;2023-02-11;2023;2;11;1;5;0
20230212;2023-02-12;2023;2;12;1;6;0
20230213;2023-02-13;2023;2;13;1;0;0
20230214;2023-02-14;2023;2;14;1;1;0
20230215;2023-02-15;2023;2;15;1;2;0
20230216;2023-02-16;2023;2;16;1;3;0
20230217;2023-02-17;2023;2;17;1;4;0
20230218;2023-02-18;2023;2;18;1;5;0
20230219;2023-02-19;2023;2;19;1;6;0
20230220;2023-02-20;2023;2;20;1;0;0
20230221;2023-02-21;2023;2;21;1;1;0
20230222;2023-02-22;2023;2;22;1;2;0
20230223;2023-02-23;2023;2;23;1;3;0
20230224;2023-02-24;2023;2;24;1;4;0
20230225;2023-02-25;2023;2;25;1;5;0
20230226;2023-02-26;2023;2;26;1;6;0
20230227;2023-02-27;2023;2;27;1;0;0
20230228;2023-02-28;2023;2;28;1;1;1
20230301;2023-03-01;2023;3;1;1;2;0
20230302;2023-03-02;2023;3;2;1;3;0
20230303;2023-03-03;2023;3;3;1;4;0
20230304;2023-03-04;2023;3;4;1;5;0
20230305;2023-03-05;2023;3;5;1;6;0
20230306;2023-03-06;2023;3;6;1;0;0
20230307;2023-03-07;2023;3;7;1;1;0
20230308;2023-03-08;2023;3;8;1;2;0
20230309;2023-03-09;2023;3;9;1;3;0
20230310;2023-03-10;2023;3;10;1;4;0
20230311;2023-03-11;2023;3;11;1;5;0
20230312;2023-03-12;2023;3;12;1;6;0
20230313;2023-03-13;2023;3;13;1;0;0
20230314;2023-03-14;2023;3;14;1;1;0
20230315;2023-03-15;2023;3;15;1;2;0
20230316;2023-03-16;2023;3;16;1;3;0
20230317;2023-03-17;2023;3;17;1;4;0
20230318;2023-03-18;2023;3;18;1;5;0
20230319;2023-03-19;2023;3;19;1;6;0
20230320;2023-03-20;2023;3;20;1;0;0
20230321;2023-03-21;2023;3;21;1;1;0
20230322;2023-03-22;2023;3;22;1;2;0
20230323;2023-03-23;2023;3;23;1;3;0
20230324;2023-03-24;2023;3;24;1;4;0
20230325;2023-03-25;2023;3;25;1;5;0
20230326;2023-03-26;2023;3;26;1;6;0
20230327;2023-03-27;2023;3;27;1;0;0
20230328;2023-03-28;2023;3;28;1;1;0
20230329;2023-03-29;2023;3;29;1;2;0
20230330;2023-03-30;2023;3;30;1;3;0
20230331;2023-03-31;2023;3;31;1;4;1
20230401;2023-04-01;2023;4;1;2;5;0
20230402;2023-04-02;2023;4;2;2;6;0
20230403;2023-04-03;2023;4;3;2;0;0
20230404;2023-04-04;2023;4;4;2;1;0
20230405;2023-04-05;2023;4;5;2;2;0
20230406;2023-04-06;2023;4;6;2;3;0
20230407;2023-04-07;2023;4;7;2;4;0
20230408;2023-04-08;2023;4;8;2;5;0
20230409;2023-04-09;2023;4;9;2;6;0
20230410;2023-04-10;2023;4;10;2;0;0
20230411;2023-04-11;2023;4;11;2;1;0
20230412;2023-04-12;2023;4;12;2;2;0
20230413;2023-04-13;2023;4;13;2;3;0
20230414;2023-04-14;2023;4;14;2;4;0
20230415;2023-04-15;2023;4;15;2;5;0
20230416;2023-04-16;2023;4;16;2;6;0
20230417;2023-04-17;2023;4;17;2;0;0
20230418;2023-04-18;2023;4;18;2;1;0
20230419;2023-04-19;2023;4;19;2;2;0
20230420;2023-04-20;2023;4;20;2;3;0
20230421;2023-04-21;2023;4;21;2;4;0
20230422;2023-04-22;2023;4;22;2;5;0
20230423;2023-04-23;2023;4;23;2;6;0
20230424;2023-04-24;2023;4;24;2;0;0
20230425;2023-04-25;2023;4;25;2;1;0
20230426;2023-04-26;2023;4;26;2;2;0
20230427;2023-04-27;2023;4;27;2;3;0
20230428;2023-04-28;2023;4;28;2;4;0
20230429;2023-04-29;2023;4;29;2;5;0
20230430;2023-04-30;2023;4;30;2;6;1
20230501;2023-05-01;2023;5;1;2;0;0
20230502;2023-05-02;2023;5;2;2;1;0
20230503;2023-05-03;2023;5;3;2;2;0
20230504;2023-05-04;2023;5;4;2;3;0
20230505;2023-05-05;2023;5;5;2;4;0
20230506;2023-05-06;2023;5;6;2;5;0
20230507;2023-05-07;2023;5;7;2;6;0
20230508;2023-05-08;2023;5;8;2;0;0
20230509;2023-05-09;2023;5;9;2;1;0
20230510;2023-05-10;2023;5;10;2;2;0
20230511;2023-05-11;2023;5;11;2;3;0
20230512;2023-05-12;2023;5;12;2;4;0
20230513;2023-05-13;2023;5;13;2;5;0
20230514;2023-05-14;2023;5;14;2;6;0
20230515;2023-05-15;2023;5;15;2;0;0
20230516;2023-05-16;2023;5;16;2;1;0
20230517;2023-05-17;2023;5;17;2;2;0
20230518;2023-05-18;2023;5;18;2;3;0
20230519;2023-05-19;2023;5;19;2;4;0
20230520;2023-05-20;2023;5;20;2;5;0
20230521;2023-05-21;2023;5;21;2;6;0
20230522;2023-05-22;2023;5;22;2;0;0
20230523;2023-05-23;2023;5;23;2;1;0
20230524;2023-05-24;2023;5;24;2;2;0
20230525;2023-05-25;2023;5;25;2;3;0
20230526;2023-05-26;2023;5;26;2;4;0
20230527;2023-05-27;2023;5;27;2;5;0
20230528;2023-05-28;2023;5;28;2;6;0
20230529;2023-05-29;2023;5;29;2;0;0
20230530;2023-05-30;2023;5;30;2;1;0
20230531;2023-05-31;2023;5;31;2;2;1
20230601;2023-06-01;2023;6;1;2;3;0
20230602;2023-06-02;2023;6;2;2;4;0
20230603;2023-06-03;2023;6;3;2;5;0
20230604;2023-06-04;2023;6;4;2;6;0
20230605;2023-06-05;2023;6;5;2;0;0
20230606;2023-06-06;2023;6;6;2;1;0
20230607;2023-06-07;2023;6;7;2;2;0
